Year,Month,Close,Volume,Date
2007,6,20.751685738334803,1665554.6827582722,2007-06-01
2007,7,20.29469283414748,1622520.1562660597,2007-07-01
2007,8,20.354051983091686,1541260.8079236988,2007-08-01
2007,9,21.02596938484912,1466562.1880557009,2007-09-01
2007,10,22.16090563634878,1449355.6865583167,2007-10-01
2007,11,23.52810030131525,1509528.1892676791,2007-11-01
2007,12,25.040695721973123,1624776.3134521735,2007-12-01
2008,1,26.744959673848406,1742763.9907045434,2008-01-01
2008,2,28.56325435021052,1810090.3373198623,2008-02-01
2008,3,30.13876046488901,1801945.182137339,2008-03-01
2008,4,31.042834892023162,1730628.25626273,2008-04-01
2008,5,31.128089142083212,1630907.5293952674,2008-05-01
2008,6,30.601841641774783,1537133.5226387638,2008-06-01
2008,7,29.76706828850778,1466108.630497137,2008-07-01
2008,8,28.808340345070135,1416669.8516161607,2008-08-01
2008,9,27.897845523405,1385363.7922111815,2008-09-01
2008,10,27.417301370408815,1381970.9378350854,2008-10-01
2008,11,27.89057682674185,1428592.8146913676,2008-11-01
2008,12,29.605624271399172,1538975.3030378716,2008-12-01
2009,1,32.32994085713163,1694620.9282136073,2009-01-01
2009,2,35.40870672051672,1844608.3289196123,2009-02-01
2009,3,38.126699173151394,1934607.661003327,2009-03-01
2009,4,40.0690237099897,1937332.7303855221,2009-04-01
2009,5,41.29888714177044,1859361.597232653,2009-05-01
2009,6,42.25771153190231,1729033.3309772066,2009-06-01
2009,7,43.4598607752645,1583769.6539670918,2009-07-01
2009,8,45.2263739898703,1461438.1260180287,2009-08-01
2009,9,47.60095455632151,1391366.1836634264,2009-09-01
2009,10,50.42031597242284,1388037.8414877914,2009-10-01
2009,11,53.54164362374595,1451960.945363527,2009-11-01
2009,12,57.179677657208266,1575834.7345630908,2009-12-01
2010,1,62.014900975075015,1756915.1300922194,2010-01-01
2010,2,68.78970587362554,2009819.7186828656,2010-02-01
2010,3,77.67565230633001,2355338.5076077385,2010-03-01
2010,4,88.03657262370231,2789171.194949845,2010-04-01
2010,5,98.88395017837102,3279023.669734609,2010-05-01
2010,6,109.67503403711933,3796848.7269359827,2010-06-01
2010,7,120.69513760781976,4325032.069199463,2010-07-01
2010,8,132.58864191189065,4824316.241078435,2010-08-01
2010,9,145.53070684428636,5230526.562115635,2010-09-01
2010,10,158.99966036356625,5500648.052972973,2010-10-01
2010,11,172.32818427769757,5643659.634057352,2010-11-01
2010,12,185.25504228583412,5697478.043050607,2010-12-01
2011,1,197.87297639958115,5689553.866610056,2011-01-01
2011,2,210.2250407481234,5621213.561995637,2011-02-01
2011,3,222.01432858597002,5485988.62681246,2011-03-01
2011,4,232.29604156811058,5317052.128665894,2011-04-01
2011,5,238.89128079383283,5231989.6565044075,2011-05-01
2011,6,238.17885722563963,5410749.800207444,2011-06-01
2011,7,226.48823573669904,5976659.952980935,2011-07-01
2011,8,202.98415046265737,6850689.022516357,2011-08-01
2011,9,171.72241642778937,7740255.193223529,2011-09-01
2011,10,140.4843275283507,8338717.120677013,2011-10-01
2011,11,116.77566578019199,8542740.396865854,2011-11-01
2011,12,103.90815225516118,8426715.109770214,2011-12-01
2012,1,99.83434997283945,8058856.838638147,2012-01-01
2012,2,99.23657292541782,7460294.093438148,2012-02-01
2012,3,97.18472484590049,6716682.593603003,2012-03-01
2012,4,91.77755578098657,6001684.504416484,2012-04-01
2012,5,84.18713390031766,5468294.965986304,2012-05-01
2012,6,76.77863878568206,5167510.627663456,2012-06-01
2012,7,71.39697104334266,5061712.595577067,2012-07-01
2012,8,69.10990216299301,5072888.063859751,2012-08-01
2012,9,70.82014945110107,5119548.147399464,2012-09-01
2012,10,77.54537603069485,5148009.680872562,2012-10-01
2012,11,90.05339194525669,5153668.641606104,2012-11-01
2012,12,108.17132301026237,5151447.508489582,2012-12-01
2013,1,130.22765393747974,5116430.659345856,2013-01-01
2013,2,153.36571236031776,4985093.341577779,2013-02-01
2013,3,175.02797558505551,4722146.61671214,2013-03-01
2013,4,194.41668738871255,4358310.320681954,2013-04-01
2013,5,212.52050068673486,3968154.761240174,2013-05-01
2013,6,230.99569176920488,3633699.9957225383,2013-06-01
2013,7,251.07156709516417,3414397.031498704,2013-07-01
2013,8,272.9728504993558,3318034.3257831987,2013-08-01
2013,9,295.88556811716654,3291898.6052619396,2013-09-01
2013,10,318.48765916782884,3260716.455858858,2013-10-01
2013,11,339.6019408260388,3190447.5777360145,2013-11-01
2013,12,358.21097029433946,3110992.136352265,2013-12-01
2014,1,372.9661402502412,3073213.5669753123,2014-01-01
2014,2,382.6176938550216,3095451.529178732,2014-02-01
2014,3,387.9237751945758,3144400.9236275572,2014-03-01
2014,4,392.6088414331497,3150783.195296721,2014-04-01
2014,5,400.7534524715921,3056507.082167639,2014-05-01
2014,6,412.6180050598324,2867470.1374756126,2014-06-01
2014,7,423.7078966923641,2654967.25866051,2014-07-01
2014,8,428.20480911574805,2495912.460570038,2014-08-01
2014,9,423.46026573891976,2412949.913795002,2014-09-01
2014,10,412.3516749721126,2373407.47632529,2014-10-01
2014,11,402.29590457291,2339654.1248753006,2014-11-01
2014,12,401.3644414389553,2311756.092599472,2014-12-01
2015,1,413.77417601614013,2330419.358866062,2015-01-01
2015,2,437.6204591655504,2475903.594851961,2015-02-01
2015,3,464.90429705923043,2904467.1831653966,2015-03-01
2015,4,482.03451935228884,3893510.731030899,2015-04-01
2015,5,472.59560806374293,5779497.891902462,2015-05-01
2015,6,426.15014847533405,8690771.90460274,2015-06-01
2015,7,348.61629624965894,12233250.360121354,2015-07-01
2015,8,261.98621055517907,15529331.394939175,2015-08-01
2015,9,190.2470647829692,17759940.487704247,2015-09-01
2015,10,144.6855110908857,18742458.081384078,2015-10-01
2015,11,121.73895630915095,18922123.719181545,2015-11-01
2015,12,111.48027001668751,18796300.5388874,2015-12-01
2016,1,106.06897360972536,18454609.11808157,2016-01-01
2016,2,102.22373622275511,17710863.835714094,2016-02-01
2016,3,99.37015255732487,16519580.894477785,2016-03-01
2016,4,97.47456243773078,15107202.60053755,2016-04-01
2016,5,96.4066491323472,13757522.834752647,2016-05-01
2016,6,96.23595753075014,12601914.449230116,2016-06-01
2016,7,97.35369164186856,11619151.248188969,2016-07-01
2016,8,100.19207485263699,10751062.916593028,2016-08-01
2016,9,104.86991928300999,9959680.096383471,2016-09-01
2016,10,111.04548098925902,9204560.446306037,2016-10-01
2016,11,118.06350394422475,8450811.915737292,2016-11-01
2016,12,125.23773208353687,7716487.16081565,2016-12-01
2017,1,132.05137473144387,7073409.694309032,2017-01-01
2017,2,138.25898784129598,6601139.78067215,2017-02-01
2017,3,143.94622604692145,6346536.842065036,2017-03-01
2017,4,149.4548190012024,6299906.249373448,2017-04-01
2017,5,155.1581164371356,6395504.1791109145,2017-05-01
2017,6,161.2822755280054,6541380.524337444,2017-06-01
2017,7,167.89150978572445,6662967.749681363,2017-07-01
2017,8,174.97307725193303,6739816.702231502,2017-08-01
2017,9,182.66029306772697,6816575.398391612,2017-09-01
2017,10,191.6648588000479,6987471.211638602,2017-10-01
2017,11,203.53357389746725,7366116.132248041,2017-11-01
2017,12,219.98117627603438,8018002.367774347,2017-12-01
2018,1,241.4074543935721,8866397.911178043,2018-01-01
2018,2,266.1152137096795,9689891.436191559,2018-02-01
2018,3,291.2886534016745,10275968.168927724,2018-03-01
2018,4,314.48125864795486,10591880.97609125,2018-04-01
2018,5,333.79030513410817,10775896.072667876,2018-05-01
2018,6,347.18230272061436,10966086.65425818,2018-06-01
2018,7,352.7830145256305,11199172.984504737,2018-07-01
2018,8,350.14043894728627,11475145.060131473,2018-08-01
2018,9,341.0495152320327,11797887.605571538,2018-09-01
2018,10,329.51335848851716,12087655.87450183,2018-10-01
2018,11,320.8606194499302,12141580.707614854,2018-11-01
2018,12,319.4638101426473,11756685.935688753,2018-12-01
2019,1,325.9619019506794,10892394.482743315,2019-01-01
2019,2,336.7496073956627,9725069.469049875,2019-02-01
2019,3,346.5872182537769,8561019.719028335,2019-03-01
2019,4,351.62549338989993,7675966.4862411,2019-04-01
2019,5,350.3225865632957,7202986.049708812,2019-05-01
2019,6,342.85089074372047,7122709.631519124,2019-06-01
