Year,Month,Close,Volume,Date
2002,5,15.901666666666666,1760483.3333333333,2002-05-01
2002,6,14.533000000000001,264965.0,2002-06-01
2002,7,15.54,238995.45454545456,2002-07-01
2002,8,12.193636363636363,210659.0909090909,2002-08-01
2002,9,11.6125,199105.0,2002-09-01
2002,10,7.843652173913044,525304.3478260869,2002-10-01
2002,11,9.5785,364170.0,2002-11-01
2002,12,11.093285714285715,323471.4285714286,2002-12-01
2003,1,11.926666666666668,394547.61904761905,2003-01-01
2003,2,13.89421052631579,485631.5789473684,2003-02-01
2003,3,17.823809523809523,827652.380952381,2003-03-01
2003,4,21.085761904761902,1144771.4285714286,2003-04-01
2003,5,22.91647619047619,963571.4285714285,2003-05-01
2003,6,22.89247619047619,1616895.238095238,2003-06-01
2003,7,26.27568181818182,973800.0,2003-07-01
2003,8,26.630000000000003,725352.380952381,2003-08-01
2003,9,35.16809523809523,1221766.6666666667,2003-09-01
2003,10,48.92260869565217,2209800.0,2003-10-01
2003,11,49.18731578947368,2285089.4736842103,2003-11-01
2003,12,50.613136363636364,1560140.9090909092,2003-12-01
2004,1,66.88329999999999,3329740.0,2004-01-01
2004,2,50.71631578947368,4156492.1052631577,2004-02-01
2004,3,31.30391304347826,2592873.913043478,2004-03-01
2004,4,32.26566666666667,3285557.1428571427,2004-04-01
2004,5,30.165,2038655.0,2004-05-01
2004,6,31.37952380952381,1760528.5714285714,2004-06-01
2004,7,26.41238095238095,3935719.0476190476,2004-07-01
2004,8,16.145,1887268.1818181819,2004-08-01
2004,9,16.00952380952381,2325666.6666666665,2004-09-01
2004,10,13.418095238095237,6530004.761904762,2004-10-01
2004,11,10.852857142857143,2751800.0,2004-11-01
2004,12,12.088863636363635,2418722.727272727,2004-12-01
2005,1,11.216,1969875.0,2005-01-01
2005,2,11.085263157894737,1188747.3684210526,2005-02-01
2005,3,9.85,1095268.1818181819,2005-03-01
2005,4,11.49095238095238,1220119.0476190476,2005-04-01
2005,5,13.66047619047619,2787052.380952381,2005-05-01
2005,6,16.10727272727273,1146445.4545454546,2005-06-01
2005,7,17.121000000000002,1572690.0,2005-07-01
2005,8,21.22217391304348,1467460.8695652173,2005-08-01
2005,9,23.718095238095238,1293471.4285714286,2005-09-01
2005,10,27.05952380952381,1753504.761904762,2005-10-01
2005,11,28.18047619047619,1353680.9523809524,2005-11-01
2005,12,26.60142857142857,1421623.8095238095,2005-12-01
2006,1,25.7825,2226225.0,2006-01-01
2006,2,25.72157894736842,1265031.5789473683,2006-02-01
2006,3,26.85739130434783,858630.4347826086,2006-03-01
2006,4,29.599473684210526,1635594.7368421052,2006-04-01
2006,5,29.00909090909091,994027.2727272727,2006-05-01
2006,6,27.38840909090909,1144031.8181818181,2006-06-01
2006,7,23.662,2198365.0,2006-07-01
2006,8,19.84,1286626.0869565217,2006-08-01
2006,9,21.9755,1130905.0,2006-09-01
2006,10,24.38363636363636,1740840.9090909092,2006-10-01
2006,11,28.72047619047619,980823.8095238095,2006-11-01
2006,12,27.558999999999997,806120.0,2006-12-01
2007,1,23.354499999999998,2787195.0,2007-01-01
2007,2,22.95736842105263,2004421.0526315789,2007-02-01
2007,3,22.11818181818182,1288640.9090909092,2007-03-01
2007,4,23.21,1660145.0,2007-04-01
2007,5,22.17726818181818,1055004.5454545454,2007-05-01
2007,6,20.621428571428574,2377747.619047619,2007-06-01
2007,7,19.039528571428573,2121057.1428571427,2007-07-01
2007,8,17.324782608695653,1110039.1304347827,2007-08-01
2007,9,18.941047368421053,1223705.2631578948,2007-09-01
2007,10,23.67782608695652,1434252.1739130435,2007-10-01
2007,11,24.305238095238096,1229542.857142857,2007-11-01
2007,12,25.027,1227185.0,2007-12-01
2008,1,23.373809523809523,2487942.8571428573,2008-01-01
2008,2,27.661,1896065.0,2008-02-01
2008,3,34.1545,1818625.0,2008-03-01
2008,4,35.58954545454546,2010481.8181818181,2008-04-01
2008,5,30.92904761904762,1567771.4285714286,2008-05-01
2008,6,30.57333333333333,1051933.3333333333,2008-06-01
2008,7,28.122727272727275,1829981.8181818181,2008-07-01
2008,8,30.581904761904763,1259809.5238095238,2008-08-01
2008,9,30.42571428571428,1313261.9047619049,2008-09-01
2008,10,23.42086956521739,1536991.3043478262,2008-10-01
2008,11,21.895263157894735,1079752.6315789474,2008-11-01
2008,12,27.06863636363636,1098686.3636363635,2008-12-01
2009,1,32.1695,1861955.0,2009-01-01
2009,2,36.753684210526316,2126200.0,2009-02-01
2009,3,39.87863636363637,2166718.1818181816,2009-03-01
2009,4,45.839999999999996,2188547.619047619,2009-04-01
2009,5,40.2205,1865830.0,2009-05-01
2009,6,39.85409090909091,1785504.5454545454,2009-06-01
2009,7,42.447272727272725,1712945.4545454546,2009-07-01
2009,8,44.61238095238095,1034552.380952381,2009-08-01
2009,9,44.68047619047619,1281309.5238095238,2009-09-01
2009,10,49.224545454545456,1435777.2727272727,2009-10-01
2009,11,58.19199999999999,1189165.0,2009-11-01
2009,12,56.06554545454546,1150318.1818181819,2009-12-01
2010,1,52.91421052631579,2436910.5263157897,2010-01-01
2010,2,63.42947368421053,1616452.6315789474,2010-02-01
2010,3,71.03739130434784,1183978.2608695652,2010-03-01
2010,4,89.6257142857143,3279452.380952381,2010-04-01
2010,5,101.91125,3813135.0,2010-05-01
2010,6,116.6586409090909,3308536.3636363638,2010-06-01
2010,7,112.27495238095237,3680790.476190476,2010-07-01
2010,8,122.91090909090909,5605318.181818182,2010-08-01
2010,9,149.47785238095238,5803176.19047619,2010-09-01
2010,10,159.96392857142857,5941090.476190476,2010-10-01
2010,11,176.86809523809524,5099423.80952381,2010-11-01
2010,12,185.1040909090909,6437477.2727272725,2010-12-01
2011,1,189.575,5438515.0,2011-01-01
2011,2,222.7482894736842,5541221.052631579,2011-02-01
2011,3,215.28960869565216,6138830.434782608,2011-03-01
2011,4,238.3995,5599855.0,2011-04-01
2011,5,243.97914285714285,4613523.80952381,2011-05-01
2011,6,259.37690909090907,3983609.090909091,2011-06-01
2011,7,282.049,5119475.0,2011-07-01
2011,8,233.32717391304345,3978786.9565217393,2011-08-01
2011,9,167.70238095238096,11425771.42857143,2011-09-01
2011,10,106.9052380952381,11503966.666666666,2011-10-01
2011,11,79.76371428571429,7166404.761904762,2011-11-01
2011,12,70.30409523809524,5728133.333333333,2011-12-01
2012,1,97.7515,13066590.0,2012-01-01
2012,2,119.92049999999999,7161955.0,2012-02-01
2012,3,113.00159090909091,5290004.545454546,2012-03-01
2012,4,100.884,6016100.0,2012-04-01
2012,5,72.98795454545454,5122472.7272727275,2012-05-01
2012,6,65.75352380952381,3397357.1428571427,2012-06-01
2012,7,75.25428571428571,6721395.238095238,2012-07-01
2012,8,60.73652173913044,3732973.913043478,2012-08-01
2012,9,56.57736842105263,4805500.0,2012-09-01
2012,10,65.78089047619048,7580371.428571428,2012-10-01
2012,11,80.04190476190476,3387942.8571428573,2012-11-01
2012,12,89.40508,4273115.0,2012-12-01
2013,1,117.01341428571429,6747680.952380952,2013-01-01
2013,2,182.45684210526315,5680989.47368421,2013-02-01
2013,3,184.6935,3717205.0,2013-03-01
2013,4,182.83059090909092,5548936.363636363,2013-04-01
2013,5,223.72013636363636,3485636.3636363638,2013-05-01
2013,6,218.92800000000003,2947405.0,2013-06-01
2013,7,246.1192272727273,3525459.090909091,2013-07-01
2013,8,264.2140909090909,2706745.4545454546,2013-08-01
2013,9,303.4697,2763270.0,2013-09-01
2013,10,323.13047826086955,5220226.0869565215,2013-10-01
2013,11,342.68345,2453985.0,2013-11-01
2013,12,368.05095238095237,2131352.380952381,2013-12-01
2014,1,359.12857142857143,4084480.9523809524,2014-01-01
2014,2,431.41894736842113,2386347.3684210526,2014-02-01
2014,3,414.85380952380956,2566257.1428571427,2014-03-01
2014,4,340.62333333333333,4412280.952380952,2014-04-01
2014,5,362.4299523809524,3563519.0476190476,2014-05-01
2014,6,433.3047619047619,2399047.619047619,2014-06-01
2014,7,442.4186363636364,2791163.6363636362,2014-07-01
2014,8,457.2204761904762,1865842.857142857,2014-08-01
2014,9,462.81523809523816,1824107.6666666667,2014-09-01
2014,10,412.48304347826087,3624144.0,2014-10-01
2014,11,373.4242105263158,1929638.894736842,2014-11-01
2014,12,339.5977272727273,1728682.0,2014-12-01
2015,1,373.865,3042332.35,2015-01-01
2015,2,462.92157894736846,1576727.8421052631,2015-02-01
2015,3,437.6606818181818,2129023.6818181816,2015-03-01
2015,4,505.8235714285714,3458981.9523809524,2015-04-01
2015,5,596.39925,2000204.85,2015-05-01
2015,6,652.435,3047152.3181818184,2015-06-01
2015,7,339.9472727272727,12103249.863636363,2015-07-01
2015,8,117.50285714285714,22362180.904761903,2015-08-01
2015,9,100.56476190476191,23645035.14285714,2015-09-01
2015,10,105.58772727272726,20292825.045454547,2015-10-01
2015,11,116.06949999999999,16013851.4,2015-11-01
2015,12,121.29636363636364,14545708.863636363,2015-12-01
2016,1,105.4478947368421,25694375.157894738,2016-01-01
2016,2,89.96950000000001,19463446.8,2016-02-01
2016,3,99.31590909090909,14149953.272727273,2016-03-01
2016,4,100.81190476190477,16198775.095238095,2016-04-01
2016,5,93.17476190476191,12622210.80952381,2016-05-01
2016,6,94.29863636363638,9920996.363636363,2016-06-01
2016,7,93.1635,16006899.45,2016-07-01
2016,8,95.62260869565218,7939622.391304348,2016-08-01
