model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,reduction_method,n_features_reduced,n_features_original
LR_PCA_sigma2_3lags,32.24747216362924,20.58062786629392,0.9722100232573877,70.60316222115563,65.11388806143977,0.25137861842263654,sigma2,3,PCA,2,6
LR_PCA_sigma3_6lags,44.22556955162416,30.519875327277685,0.9466644348776415,78.25135767735799,71.45381196086376,-0.2739386891311486,sigma3,6,PCA,2,12
LR_PCA_sigma3_9lags,39.33179596863191,30.608247510344476,0.9577365806302978,92.15628050784426,81.60552096328219,-0.766910861543942,sigma3,9,PCA,3,18
LR_PCA_sigma2_6lags,52.35532514753887,34.32245522540832,0.9266426644496237,107.4841863339145,102.05478751484215,-0.7350143349618665,sigma2,6,PCA,2,12
LR_PCA_sigma1_3lags,43.7256207497473,26.020511092200323,0.9501740727172449,110.83020284758237,91.24889545142311,-0.017453655688388192,sigma1,3,PCA,2,6
LR_SFS_raw_9lags,33.3609541334778,18.98812943161054,0.9715857488983084,119.6781042285565,85.25556902074321,0.3119797627374473,raw,9,SFS,9,18
LR_SFS_raw_3lags,33.46925150351252,18.408458232768158,0.9714631376853372,120.3040097725843,85.8638476590558,0.30476437816380164,raw,3,SFS,3,6
LR_SFS_raw_12lags,33.436563336301674,19.306987795574763,0.9714362442863799,120.65972627461282,85.43997921527287,0.3006469359612892,raw,12,SFS,12,24
LR_PCA_sigma2_9lags,45.8336267688353,34.502202435310515,0.9436829185073503,121.64002375435547,113.50683976249812,-1.2221169576189768,sigma2,9,PCA,3,18
LR_SFS_raw_6lags,33.470931929926174,18.55901398470173,0.9714330038617514,122.05322007634302,86.5184932668591,0.28440006264640494,raw,6,SFS,6,12
LR_PCA_sigma3_12lags,48.41254640400389,38.02151928367828,0.9358666514005993,123.12362719231125,109.0607614015564,-2.153897441907725,sigma3,12,PCA,3,24
LR_CFS_raw_12lags,36.25403970387125,20.444762149359295,0.9664196780882254,126.16808447195258,86.05560651058538,0.2353356739853023,raw,12,CFS,13,24
LR_CFS_raw_9lags,36.110416725883894,20.333069941378405,0.966709195636472,126.66942002619649,86.30224692898908,0.22924673235114046,raw,9,CFS,10,18
