Rank,Category,Count,Best_RMSE,Mean_RMSE,Worst_RMSE,Best_R2,Best_Config
1,Baseline Linear Regression,16,0.0615818577406231,37.02130418756993,121.68223238443524,0.9999992110121112,"sigma3, 12 lags"
2,SFS Forward Selection,16,0.062219090713454,37.09280551576941,122.05322007634302,0.9999991945991488,"sigma3, 12 lags"
3,CFS Feature Selection,16,24.38223056127497,64.24631451663636,127.05352568334612,0.8763165383351939,"sigma3, 3 lags"
4,PCA Dimensionality Reduction,16,46.50150617441373,128.23422961583256,189.503802210337,0.5501178063744184,"sigma3, 3 lags"
