Rank,model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,n_features,approach,method,alpha,n_poly_features,regularization,n_nonzero_coefs,reduction_method,n_features_reduced,n_features_original
32,LR_SFS_sigma1_6lags,7.09026907356785,4.26759507361439,0.99868835131773,22.442263873479607,16.872226037148348,0.9582812094782628,sigma1,6,,DimRed,SFS,,,,,SFS,6.0,12.0
33,Ridge_sigma3_12lags,5.44955860184297,,,22.872470766267107,16.750312496346407,0.8911594001041243,sigma3,12,,Polynomial,Ridge (L2),1.0,324.0,Ridge (L2),,,,
34,LR_SFS_sigma1_9lags,6.697418118968724,4.111692572134149,0.9988279220247496,22.93415710733757,16.680151432463266,0.9564323688873004,sigma1,9,,DimRed,SFS,,,,,SFS,9.0,18.0
35,LR_sigma1_9lags,6.596186287613229,4.066485256789509,0.9988630862881148,23.08768772691792,16.857012430034295,0.9558470973466148,sigma1,9,18.0,Baseline,LinearRegression,,,,,,,
36,LR_CFS_sigma3_3lags,12.907839897978556,8.845367111387857,0.9954640820228224,24.38223056127497,21.998752154031823,0.8763165383351939,sigma3,3,,DimRed,CFS,,,,,CFS,2.0,6.0
37,LR_CFS_sigma3_6lags,13.774570064561194,8.599012639569333,0.9948260034273496,24.40763619543628,22.73801733192704,0.8760586543122492,sigma3,6,,DimRed,CFS,,,,,CFS,2.0,12.0
38,LR_CFS_sigma3_9lags,13.753157607864315,8.877639135163673,0.9948324829784868,24.87408555569436,22.87211479861808,0.8712761525520929,sigma3,9,,DimRed,CFS,,,,,CFS,2.0,18.0
39,LR_CFS_sigma3_12lags,13.688008861922146,8.987584515322926,0.9948731735146542,25.22295608629305,22.91254244026773,0.8676400080779206,sigma3,12,,DimRed,CFS,,,,,CFS,2.0,24.0
40,Lasso_sigma2_12lags,2.761209438304137,,,26.33756825414025,21.70321550706711,0.8958245777982791,sigma2,12,,Polynomial,Lasso (L1),0.01,324.0,Lasso (L1),91.0,,,
41,LR_SFS_sigma1_3lags,10.483672070117874,5.582119378108301,0.997135754245544,29.441954672777097,23.1031035750506,0.9281988070701164,sigma1,3,,DimRed,SFS,,,,,SFS,3.0,6.0
42,LR_sigma1_3lags,10.456883885452717,5.710632752263281,0.997150373152916,29.79376268950426,23.354278755807915,0.9264726203778006,sigma1,3,6.0,Baseline,LinearRegression,,,,,,,
43,LR_CFS_sigma2_12lags,17.2388941385843,10.47658900135122,0.992022132677043,38.03763230351411,36.04889725527098,0.7827094331207908,sigma2,12,,DimRed,CFS,,,,,CFS,2.0,24.0
44,LR_CFS_sigma2_6lags,17.224021608243714,10.207075421013302,0.9920605402770012,38.159589629957466,35.38844838629816,0.7813138331427532,sigma2,6,,DimRed,CFS,,,,,CFS,2.0,12.0
45,LR_CFS_sigma2_9lags,17.240070935941173,10.36678226003868,0.9920319914859942,38.205148406131634,35.871721916832115,0.7807913421155956,sigma2,9,,DimRed,CFS,,,,,CFS,2.0,18.0
46,LR_CFS_sigma2_3lags,17.071288870908095,9.989784649545092,0.9922119370568916,38.27300694080416,34.4159037761702,0.780011950368866,sigma2,3,,DimRed,CFS,,,,,CFS,2.0,6.0
47,Ridge_sigma2_9lags,1.791855559357546,,,38.67364222567305,31.343423872938367,0.7753822505920063,sigma2,9,,Polynomial,Ridge (L2),0.01,189.0,Ridge (L2),,,,
48,LR_PCA_sigma3_3lags,25.834734409520983,17.667670138200748,0.9818295344334662,46.50150617441373,42.79961772741021,0.5501178063744184,sigma3,3,,DimRed,PCA,,,,,PCA,2.0,6.0
49,Lasso_sigma1_3lags,8.511186424536351,,,50.8575972061844,43.57614614346026,0.7857553153373562,sigma1,3,,Polynomial,Lasso (L1),0.01,27.0,Lasso (L1),23.0,,,
50,Lasso_sigma1_9lags,6.089002010626912,,,52.04486947318011,44.78595207982246,0.7756354556943147,sigma1,9,,Polynomial,Lasso (L1),0.01,189.0,Lasso (L1),69.0,,,
51,Lasso_sigma1_12lags,9.267278483470134,,,52.353022465894966,46.048857294755656,0.7729707055192033,sigma1,12,,Polynomial,Lasso (L1),0.1,324.0,Lasso (L1),44.0,,,
52,Lasso_sigma1_6lags,16.645724110380563,,,53.42287664910219,38.80707108765096,0.7635970347649036,sigma1,6,,Polynomial,Lasso (L1),1.0,90.0,Lasso (L1),14.0,,,
53,Ridge_sigma1_3lags,8.131123124977956,,,55.09155686192478,47.9534399511225,0.7485981487735657,sigma1,3,,Polynomial,Ridge (L2),0.01,27.0,Ridge (L2),,,,
54,Ridge_sigma2_12lags,15.570472097453646,,,64.39879896951724,50.30667125662897,0.377170095135424,sigma2,12,,Polynomial,Ridge (L2),10.0,324.0,Ridge (L2),,,,
55,Ridge_sigma1_9lags,4.637079779396868,,,64.4530578832331,47.2347433242258,0.6558993970278242,sigma1,9,,Polynomial,Ridge (L2),0.01,189.0,Ridge (L2),,,,
56,LR_CFS_sigma1_12lags,24.67106920263073,13.945345642607233,0.98407940898548,66.8933040193968,53.38266368576563,0.6293502812084024,sigma1,12,,DimRed,CFS,,,,,CFS,2.0,24.0
57,LR_CFS_sigma1_9lags,24.624190102985683,13.747900240074696,0.9841559723987574,67.41637162947309,53.19412035550406,0.6235310781942034,sigma1,9,,DimRed,CFS,,,,,CFS,2.0,18.0
58,LR_CFS_sigma1_6lags,24.51811335406655,13.65229147866846,0.984315662075568,67.60492237291272,53.00181724243146,0.6214223097445144,sigma1,6,,DimRed,CFS,,,,,CFS,2.0,12.0
59,LR_CFS_sigma1_3lags,24.4227012661429,13.373347485022736,0.9844557126085584,67.69957102316052,52.38436452688386,0.6203615304724925,sigma1,3,,DimRed,CFS,,,,,CFS,2.0,6.0
60,LR_PCA_sigma2_3lags,32.24747216362924,20.58062786629392,0.9722100232573876,70.60316222115563,65.11388806143977,0.2513786184226365,sigma2,3,,DimRed,PCA,,,,,PCA,2.0,6.0
61,Ridge_sigma1_6lags,5.810201538469835,,,71.02190315930324,54.9035224597977,0.5821859962923486,sigma1,6,,Polynomial,Ridge (L2),0.01,90.0,Ridge (L2),,,,
62,LR_PCA_sigma3_6lags,44.22556955162416,30.519875327277685,0.9466644348776416,78.25135767735799,71.45381196086376,-0.2739386891311486,sigma3,6,,DimRed,PCA,,,,,PCA,2.0,12.0
63,LR_PCA_sigma3_9lags,39.33179596863191,30.60824751034448,0.9577365806302978,92.15628050784426,81.60552096328219,-0.766910861543942,sigma3,9,,DimRed,PCA,,,,,PCA,3.0,18.0
64,Ridge_sigma1_12lags,3.421328895281088,,,100.5527402715726,72.00374485804706,0.1624973278675244,sigma1,12,,Polynomial,Ridge (L2),0.01,324.0,Ridge (L2),,,,
65,LR_PCA_sigma2_6lags,52.35532514753887,34.32245522540832,0.9266426644496236,107.4841863339145,102.05478751484216,-0.7350143349618665,sigma2,6,,DimRed,PCA,,,,,PCA,2.0,12.0
66,LR_PCA_sigma1_3lags,43.7256207497473,26.020511092200323,0.9501740727172449,110.83020284758236,91.24889545142312,-0.0174536556883881,sigma1,3,,DimRed,PCA,,,,,PCA,2.0,6.0
67,LR_raw_9lags,32.50554690461548,18.994034838763856,0.9730242056114936,117.0484536320012,81.51021265279131,0.3418829059691054,raw,9,18.0,Baseline,LinearRegression,,,,,,,
68,LR_SFS_raw_9lags,33.3609541334778,18.98812943161054,0.9715857488983084,119.6781042285565,85.25556902074321,0.3119797627374473,raw,9,,DimRed,SFS,,,,,SFS,9.0,18.0
69,LR_SFS_raw_3lags,33.46925150351252,18.40845823276816,0.9714631376853372,120.3040097725843,85.8638476590558,0.3047643781638016,raw,3,,DimRed,SFS,,,,,SFS,3.0,6.0
70,LR_SFS_raw_12lags,33.436563336301674,19.306987795574763,0.97143624428638,120.65972627461282,85.43997921527287,0.3006469359612892,raw,12,,DimRed,SFS,,,,,SFS,12.0,24.0
71,LR_raw_12lags,32.331370009995666,19.111647110324967,0.9732932981127352,121.07191499170445,82.8183389377068,0.2958606194896848,raw,12,24.0,Baseline,LinearRegression,,,,,,,
72,LR_raw_6lags,32.654722230732126,18.877338279210004,0.9728092645336284,121.28663207113814,83.89792248437334,0.2933608685402953,raw,6,12.0,Baseline,LinearRegression,,,,,,,
73,LR_PCA_sigma2_9lags,45.8336267688353,34.502202435310515,0.9436829185073504,121.64002375435548,113.50683976249812,-1.2221169576189768,sigma2,9,,DimRed,PCA,,,,,PCA,3.0,18.0
74,LR_raw_3lags,32.75522016562946,18.518848121068935,0.9726677574785456,121.68223238443524,84.24005026215056,0.2887436645608298,raw,3,6.0,Baseline,LinearRegression,,,,,,,
75,LR_SFS_raw_6lags,33.470931929926174,18.55901398470173,0.9714330038617514,122.05322007634302,86.5184932668591,0.2844000626464049,raw,6,,DimRed,SFS,,,,,SFS,6.0,12.0
76,LR_PCA_sigma3_12lags,48.41254640400389,38.02151928367828,0.9358666514005992,123.12362719231125,109.0607614015564,-2.153897441907725,sigma3,12,,DimRed,PCA,,,,,PCA,3.0,24.0
77,LR_CFS_raw_12lags,36.25403970387125,20.444762149359292,0.9664196780882254,126.16808447195258,86.05560651058538,0.2353356739853023,raw,12,,DimRed,CFS,,,,,CFS,13.0,24.0
78,LR_CFS_raw_9lags,36.11041672588389,20.333069941378405,0.966709195636472,126.66942002619648,86.30224692898908,0.2292467323511404,raw,9,,DimRed,CFS,,,,,CFS,10.0,18.0
79,LR_CFS_raw_3lags,36.10972864849136,19.906542572396454,0.9667828269108651,126.87354736063736,85.70271518184306,0.226760598289117,raw,3,,DimRed,CFS,,,,,CFS,4.0,6.0
80,LR_CFS_raw_6lags,36.03667863286869,20.223723988472297,0.9668854787534306,127.05352568334612,86.23432772411988,0.2245652621976418,raw,6,,DimRed,CFS,,,,,CFS,7.0,12.0
81,Lasso_raw_3lags,37.89061779929642,,,127.53014299232711,92.30570239919945,0.2187365560463214,raw,3,,Polynomial,Lasso (L1),10.0,27.0,Lasso (L1),2.0,,,
82,Ridge_raw_3lags,34.2197708589362,,,127.53392171760684,113.32530619759994,0.2186902576012144,raw,3,,Polynomial,Ridge (L2),10.0,27.0,Ridge (L2),,,,
83,Lasso_raw_6lags,38.02905006512019,,,127.62448923270706,92.40808991754272,0.2175801779250394,raw,6,,Polynomial,Lasso (L1),10.0,90.0,Lasso (L1),3.0,,,
84,Lasso_raw_12lags,38.39975370183656,,,127.63651898439362,92.38408676324384,0.217432670815262,raw,12,,Polynomial,Lasso (L1),10.0,324.0,Lasso (L1),3.0,,,
85,Lasso_raw_9lags,38.2127903928389,,,127.63662934587131,92.41203275193992,0.2174313175141085,raw,9,,Polynomial,Lasso (L1),10.0,189.0,Lasso (L1),3.0,,,
86,LR_PCA_sigma1_6lags,44.75607936433754,31.73529719910301,0.9477367799317332,131.19973992493004,117.88685648427308,-0.4258187732452361,sigma1,6,,DimRed,PCA,,,,,PCA,3.0,12.0
87,Ridge_raw_9lags,29.741626779103346,,,140.38532210758055,109.7212294011788,0.0532938114685779,raw,9,,Polynomial,Ridge (L2),10.0,189.0,Ridge (L2),,,,
88,Ridge_raw_6lags,32.523700453263984,,,147.2704019890299,119.05130950823758,-0.0418441440500605,raw,6,,Polynomial,Ridge (L2),10.0,90.0,Ridge (L2),,,,
89,LR_PCA_raw_3lags,50.78452602632018,31.254780950764975,0.9342982364660424,148.0121999584338,104.27596535712918,-0.0523660716636682,raw,3,,DimRed,PCA,,,,,PCA,3.0,6.0
90,Ridge_raw_12lags,26.487422256921167,,,148.5410811509858,113.41911060409863,-0.0599001939921519,raw,12,,Polynomial,Ridge (L2),10.0,324.0,Ridge (L2),,,,
91,LR_PCA_sigma2_12lags,55.77656379148365,42.62887201460835,0.9164836482805346,152.18043213373664,139.29870277240892,-2.4780157715112727,sigma2,12,,DimRed,PCA,,,,,PCA,3.0,24.0
92,LR_PCA_sigma1_9lags,55.65316624006666,40.37748358407971,0.9190677835300326,160.33287042526254,148.65331927186975,-1.129332662240402,sigma1,9,,DimRed,PCA,,,,,PCA,3.0,18.0
93,LR_PCA_raw_12lags,53.26123290357757,35.3821883499402,0.9275239570343752,163.0536647882442,121.81523606095256,-0.277123626566734,raw,12,,DimRed,PCA,,,,,PCA,8.0,24.0
94,LR_PCA_raw_6lags,56.733538390643226,37.88341665253907,0.9179254125487424,171.62963836210562,128.72133796880414,-0.414999822072013,raw,6,,DimRed,PCA,,,,,PCA,5.0,12.0
95,LR_PCA_sigma1_12lags,64.79144731434023,48.70430592698281,0.8901958876276687,185.244979341336,174.85369630332295,-1.842439781724274,sigma1,12,,DimRed,PCA,,,,,PCA,4.0,24.0
96,LR_PCA_raw_9lags,61.42607782807977,43.8257589363238,0.9036692682641584,189.503802210337,153.61444564438258,-0.7250737498866415,raw,9,,DimRed,PCA,,,,,PCA,6.0,18.0
